"T0_20","DOvalues0_20","T21_40","DOvalues21_40"
1,141120,21,9.19749370295368
2,147840,22,9.01914837585234
3,154560,23,8.84543090230062
4,161280,24,8.67619505756078
5,168000,25,8.5113
6,174720,26,8.35061004635921
7,181440,27,8.19399445746547
8,188160,28,8.04132723385489
9,194880,29,7.89248692080286
10,201600,30,7.747356422286
11,208320,31,7.60582282342609
12,215040,32,7.46777722099161
13,221760,33,7.33311456155465
14,228480,34,7.20173348692356
15,235200,35,7.07353618649172
16,241920,36,6.94842825616238
17,248640,37,6.82631856352751
18,255360,38,6.70711911899598
19,262080,39,6.59074495258233
20,268800,40,6.47711399608269
