"Equilibrium reactions","Log K"
"NO~3~^-^ + 2H^+^ + e^-^ &#8646; NO~2(g)~ + H~2~O",13.03
"&#189;NO~3~^-^ + H^+^ + e^-^ &#8646; &#189;NO~2~^-^ + &#189;H~2~O",14.32
"&#8531;NO~3~^-^ + 4/3H^+^ + e^-^ &#8646; &#8531;NO~(g)~ + &#8532;H~2~O",16.14
"&#188;NO~3~^-^ + 5/4H^+^ + e^-^ &#8646; N~2~O~(aq)~ + &#8539;H~2~O",18.88
"&#8533;NO~3~^-^ + 6/5H^+^ + e^-^ &#8646; &#8530;N~2(g)~ + 3/5H~2~O",21.05
"&#8539;NO~3~^-^ + 5/4H^+^ + e^-^ &#8646; &#8539;NH~4~^+^ + &#8540;H~2~O",14.90
"N~2(g)~ &#8646; N~2(aq)~",-3.21
"NO~(g)~ &#8646; NO~(aq)~",-2.73
"N~2~O~(g)~ &#8646; N~2~O~(aq)~",0.54
"NH~3(g)~ &#8646; NH~3(aq)~",1.76
"NH~3(aq)~ + H^+^ &#8646; NH~4~^+^",9.28
