ID,Texture,Weeks,pH,OM,Fe_perc,Mn_perc
28,Clay,0,4.6,2.9,4.7,0.08
28,Clay,1,5.7,2.9,4.7,0.08
28,Clay,2,6.2,2.9,4.7,0.08
28,Clay,3,6.25,2.9,4.7,0.08
28,Clay,4,6.4,2.9,4.7,0.08
28,Clay,6,6.4,2.9,4.7,0.08
28,Clay,8,6.41,2.9,4.7,0.08
28,Clay,10,6.42,2.9,4.7,0.08
28,Clay,12,6.48,2.9,4.7,0.08
28,Clay,14,6.53,2.9,4.7,0.08
28,Clay,16,6.55,2.9,4.7,0.08
35,Clay,0,3.3,6.6,2.6,0.01
35,Clay,1,4.75,6.6,2.6,0.01
35,Clay,2,5.8,6.6,2.6,0.01
35,Clay,3,6,6.6,2.6,0.01
35,Clay,4,6.1,6.6,2.6,0.01
35,Clay,6,6.13,6.6,2.6,0.01
35,Clay,8,6.15,6.6,2.6,0.01
35,Clay,10,6.11,6.6,2.6,0.01
35,Clay,12,6.14,6.6,2.6,0.01
35,Clay,14,6.14,6.6,2.6,0.01
35,Clay,16,6.14,6.6,2.6,0.01
40,Clay,0,3.5,7.2,1.5,0
40,Clay,1,4.05,7.2,1.5,0
40,Clay,2,4.4,7.2,1.5,0
40,Clay,3,4.5,7.2,1.5,0
40,Clay,4,4.6,7.2,1.5,0
40,Clay,6,4.8,7.2,1.5,0
40,Clay,8,4.9,7.2,1.5,0
40,Clay,10,5,7.2,1.5,0
40,Clay,12,5.1,7.2,1.5,0
40,Clay,14,5.15,7.2,1.5,0
40,Clay,16,5.2,7.2,1.5,0
57,Clayloam,0,8.15,2.2,0.63,0.07
57,Clayloam,1,8,2.2,0.63,0.07
57,Clayloam,2,7.4,2.2,0.63,0.07
57,Clayloam,3,7.3,2.2,0.63,0.07
57,Clayloam,4,7.25,2.2,0.63,0.07
57,Clayloam,6,7.2,2.2,0.63,0.07
57,Clayloam,8,7.2,2.2,0.63,0.07
57,Clayloam,10,7.2,2.2,0.63,0.07
57,Clayloam,12,7.25,2.2,0.63,0.07
57,Clayloam,14,7.25,2.2,0.63,0.07
57,Clayloam,16,7.25,2.2,0.63,0.07
94,Clay,0,6.6,2.6,0.96,0.09
94,Clay,1,6.5,2.6,0.96,0.09
94,Clay,2,6.7,2.6,0.96,0.09
94,Clay,3,6.7,2.6,0.96,0.09
94,Clay,4,6.7,2.6,0.96,0.09
94,Clay,6,6.7,2.6,0.96,0.09
94,Clay,8,6.7,2.6,0.96,0.09
94,Clay,10,6.7,2.6,0.96,0.09
94,Clay,12,6.74,2.6,0.96,0.09
94,Clay,14,6.74,2.6,0.96,0.09
94,Clay,16,6.74,2.6,0.96,0.09
99,Clayloam,0,7.05,4.8,1.55,0.08
99,Clayloam,1,6.7,4.8,1.55,0.08
99,Clayloam,2,6.5,4.8,1.55,0.08
99,Clayloam,3,6.53,4.8,1.55,0.08
99,Clayloam,4,6.54,4.8,1.55,0.08
99,Clayloam,6,6.55,4.8,1.55,0.08
99,Clayloam,8,6.6,4.8,1.55,0.08
99,Clayloam,10,6.64,4.8,1.55,0.08
99,Clayloam,12,6.68,4.8,1.55,0.08
99,Clayloam,14,6.68,4.8,1.55,0.08
99,Clayloam,16,6.68,4.8,1.55,0.08
