"datetime","Q_m3s","C_mgNO3.N_L"
1997-09-01 00:00:00,0.024,13.8
1997-09-01 01:00:00,0.024,13.82
1997-09-01 02:00:00,0.024,13.86
1997-09-01 03:00:00,0.024,13.89
1997-09-01 04:00:00,0.024,13.91
1997-09-01 05:00:00,0.024,13.94
1997-09-01 06:00:00,0.024,13.97
1997-09-01 07:00:00,0.024,14
1997-09-01 08:00:00,0.023,14.05
1997-09-01 09:00:00,0.024,14.1
1997-09-01 10:00:00,0.024,14.18
1997-09-01 11:00:00,0.024,14.26
1997-09-01 12:00:00,0.024,14.34
1997-09-01 13:00:00,0.024,14.42
1997-09-01 14:00:00,0.024,14.48
1997-09-01 15:00:00,0.025,14.55
1997-09-01 16:00:00,0.025,14.56
1997-09-01 17:00:00,0.025,14.58
1997-09-01 18:00:00,0.025,14.61
1997-09-01 19:00:00,0.024,14.65
1997-09-01 20:00:00,0.024,14.68
1997-09-01 21:00:00,0.023,14.71
1997-09-01 22:00:00,0.024,14.73
1997-09-01 23:00:00,0.023,14.74
1997-09-02 00:00:00,0.022,14.74
1997-09-02 01:00:00,0.022,14.74
1997-09-02 02:00:00,0.022,14.74
1997-09-02 03:00:00,0.022,14.74
1997-09-02 04:00:00,0.022,14.74
1997-09-02 05:00:00,0.022,14.74
1997-09-02 06:00:00,0.021,14.79
1997-09-02 07:00:00,0.021,14.84
1997-09-02 08:00:00,0.022,14.87
1997-09-02 09:00:00,0.022,14.9
1997-09-02 10:00:00,0.022,14.92
1997-09-02 11:00:00,0.022,14.94
1997-09-02 12:00:00,0.022,14.96
1997-09-02 13:00:00,0.023,14.99
1997-09-02 14:00:00,0.023,15
1997-09-02 15:00:00,0.023,15.02
1997-09-02 16:00:00,0.023,15.02
1997-09-02 17:00:00,0.024,15.02
1997-09-02 18:00:00,0.023,15.04
1997-09-02 19:00:00,0.023,15.07
1997-09-02 20:00:00,0.022,15.07
1997-09-02 21:00:00,0.023,15.07
1997-09-02 22:00:00,0.022,15.07
1997-09-02 23:00:00,0.022,15.07
1997-09-03 00:00:00,0.021,15.08
1997-09-03 01:00:00,0.02,15.08
1997-09-03 02:00:00,0.021,15.09
1997-09-03 03:00:00,0.02,15.09
1997-09-03 04:00:00,0.02,15.11
1997-09-03 05:00:00,0.021,15.13
1997-09-03 06:00:00,0.02,15.16
1997-09-03 07:00:00,0.02,15.19
1997-09-03 08:00:00,0.021,15.21
1997-09-03 09:00:00,0.021,15.23
1997-09-03 10:00:00,0.021,15.24
1997-09-03 11:00:00,0.022,15.26
1997-09-03 12:00:00,0.022,15.27
1997-09-03 13:00:00,0.022,15.29
1997-09-03 14:00:00,0.024,15.31
1997-09-03 15:00:00,0.021,15.32
1997-09-03 16:00:00,0.024,15.34
1997-09-03 17:00:00,0.024,15.35
1997-09-03 18:00:00,0.023,15.35
1997-09-03 19:00:00,0.023,15.35
1997-09-03 20:00:00,0.022,15.34
1997-09-03 21:00:00,0.022,15.32
1997-09-03 22:00:00,0.022,15.31
1997-09-03 23:00:00,0.021,15.29
1997-09-04 00:00:00,0.021,15.27
1997-09-04 01:00:00,0.021,15.26
1997-09-04 02:00:00,0.021,15.24
1997-09-04 03:00:00,0.021,15.23
1997-09-04 04:00:00,0.021,15.21
1997-09-04 05:00:00,0.021,15.19
1997-09-04 06:00:00,0.021,15.18
1997-09-04 07:00:00,0.021,15.16
1997-09-04 08:00:00,0.021,15.15
1997-09-04 09:00:00,0.022,15.13
1997-09-04 10:00:00,0.021,15.13
1997-09-04 11:00:00,0.022,15.13
1997-09-04 12:00:00,0.022,15.13
1997-09-04 13:00:00,0.022,15.13
1997-09-04 14:00:00,0.023,15.13
1997-09-04 15:00:00,0.024,15.13
1997-09-04 16:00:00,0.023,15.11
